Chemical,Species,Conc,Reference
Chloride,Salmo trutta fario Brown trout,607,3
Chloride,Oncorhynchus mykiss Rainbow trout,989,3
Chloride,Xenopus laevis African clawed frog,1307,3
Chloride,Rana pipiens Northern leopard frog,3431,3
Chloride,Lampsilis fasciola Wavy-rayed lampmussel (COSEWIC special concern),24,3
Chloride,Epioblasma torulosa rangiana Northern riffleshell mussel (COSEWIC endangered),42,3
Chloride,Musculium securis Fingernail clam,121,3
Chloride,Daphnia ambigua Water flea,259,3
Chloride,Daphnia pulex Water flea,368,3
Chloride,Elliptio complanata Freshwater mussel,406,3
Chloride,Daphnia magna Water flea,421,3
Chloride,Hyalella azteca Amphipod,421,3
Chloride,Ceriodaphnia dubia Water flea,454,3
Chloride,Tubifex tubifex Oligochaete,519,3
Chloride,Villosa delumbis Freshwater mussel,716,3
Chloride,Villosa constricta Freshwater mussel,789,3
Chloride,Lumbriculus variegates Oligochaete,825,3
Chloride,Brachionus calyciflorus,1241,3
Chloride,Lampsilis siliquoidea Freshwater mussel,1474,3
Chloride,Gammarus pseudopinmaeus Amphipod,2000,3
Chloride,Physa sp. Snail,2000,3
Chloride,Stenonema modestum Mayfly,2047,3
Chloride,Chironomus tentans Midge,2316,3
Chloride,Lemna minor Duckweed,1171,3
Chloride,Chlorella minutissimo Algae,6066,3
Chloride,Chlorella zofingiensis Algae,6066,3
Chloride,Chlorella emersonii Algae,6824,3
Endosulfan,Oncorhynchus mykiss,0.05,4
Endosulfan,Channa punctata,0.24,4
Endosulfan,Pimephales promelas,0.28,4
Endosulfan,Hydra vulgaris,0.06,4
Endosulfan,Hydra viridissima,0.07,4
Endosulfan,Daphnia magna,14.1,4
Endosulfan,Ceriodaphnia dubia,14.1,4
Endosulfan,Moinodaphnia macleayi,28.3,4
Endosulfan,Daphnia cephalata,113.14,4
Endosulfan,Brachionus calyciflorus,1000,4
Endosulfan,Pseudokirchneriell a subcapitatum,427.8,4
Endosulfan,Scenedesmus subspicatus,560,4
Glyphosate,O. kisutch,130000,5
Glyphosate,O. mykiss,150000,5
Glyphosate,P. promelas,25700,5
Glyphosate,C. dubia,65000,5
Glyphosate,D. magna,10487,5
Glyphosate,H. azteca,20500,5
Glyphosate,P. columella,3162,5
Glyphosate,A. flosaquae,12000,5
Glyphosate,C. pyrenoidosa,3530,5
Glyphosate,C. vulgaris,4696,5
Glyphosate,L. gibba,1587,5
Glyphosate,M. sibiricum,1474,5
Glyphosate,N. pelliculosa,1800,5
Glyphosate,P. pectinatus,3162,5
Glyphosate,P. subcapitata,10000,5
Glyphosate,S. acutus,2820,5
Glyphosate,S. obliquus,55858,5
Glyphosate,S. quadricauda,1090,5
Uranium,O. mykiss,350,6
Uranium,P. promelas,1040,6
Uranium,E. luius,2550,6
Uranium,S. namaycush,13400,6
Uranium,C. commersoni,14300,6
Uranium,H. azteca,12,6
Uranium,C. dubia,73,6
Uranium,S. serrulatus,480,6
Uranium,D. magna,530,6
Uranium,C. tentans,930,6
Uranium,P.subcapitata,40,6
Uranium,L. minor,3100,6
Uranium,C. erosa,172,6
Silver,O. mykiss,0.24,7
Silver,L. gibba,0.63,7
Silver,C. dubia,0.78,7
Silver,P. promelas,0.83,7
Silver,I. punctatus,1.9,7
Silver,D. magna,2.12,7
Silver,H. azteca,4,7
Silver,C. tentans,13,7
Silver,M. salmoides,23,7
,,,
